"company";"position";"level";"requirements";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url"
"KMD Poland";"Backend";"Trainee";".NET|English|Polish";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-talent-lab-net-c-developer-kmd-poland-warszawa-vrsbgbkg"
"ALTIMI Software House";"Mobile";"Junior";"android|Kotlin";6000;10000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-android-developer-altimi-software-house-wroclaw-ncvayfwt"
"Devire";"Backend";"Junior";".NET|Microsoft|English|Communication skills|Proactivity|Polish|C#|Web API|.NET Core";10500;15000;NA;NA;NA;NA;NA;NA;NA;NA;8500;11500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-regular-net-developer-devire-remote-b3ad60ts"
"in4ge sp. z o.o.";"Frontend";"Junior";"Angular|CSS|English|Polish|JavaScript|TypeScript|HTML|Git";5000;8500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-angular-developer-in4ge-remote-ge8miuac"
"KANTAR Polska";"Backend";"Junior";"Java|Spring|Linux|Team player|Communication skills|Critical thinking|Problem solving|English|spark|SQL|ETL tools";NA;NA;10000;14000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-software-developer-kantar-polska-remote-11gmvktu"
"FIS Techlology Services (Poland) Sp. z o.o.";"Project Manager";"Junior";"BA degree|Microsoft Office|Self-motivated|Willingness to learn|Communication skills|Team player|Personal organization|Problem solving|Proactivity|Analytical skills|English";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-project-manager-fis-university-fis-techlology-services-poland-warsaw-tau6cc6i"
"Interpolisa Sp. z o.o.";"Backend";"Junior";"PHP|MySQL|Symfony|Git|Problem solving|Communication skills";NA;NA;NA;NA;4000;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-junior-php-developer-interpolisa-vbmgrtcz"
"A4BEE Sp. z o.o.";"Inne";"Junior";"Team player|SCADA|PLC Programming";6000;10000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5500;9500;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-plc-scada-programmer-a4bee-wroclaw-snxg6b3t"
"Avenga";"Backend";"Mid";"C#|.NET|WPF|MVVM& SOLID|Visual Studio|xml|SAP";21000;23520;NA;NA;NA;NA;NA;NA;20000;22400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/net-developer-avenga-krakow-a3wav7xf"
"Winged IT";"Project Manager";"Mid";"Project management|Service Management|Agile|ITIL|English|Risk management";16800;18480;NA;NA;NA;NA;NA;NA;16000;17600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-it-senior-project-manager-winged-it-qbrmcef7"
"Link Group";"Business Intelligence";"Senior";"Power BI|Tableau|Qlik|Microsoft Power BI|Azure|Power Platform|DAX|SQL|ETL|Cloud|English";30240;33600;NA;NA;NA;NA;NA;NA;NA;NA;30000;33000;NA;NA;NA;NA;28800;32000;NA;NA;"https://nofluffjobs.com/pl/job/technical-lead-power-bi-link-group-remote-sdvwgn2r"
"Winged IT";"DevOps";"Senior";"CI/CD|English B2+|Kubernetes|Docker|Cloud experience|Jenkins|Gitlab";27544;32135;NA;NA;NA;NA;NA;NA;28045;32719;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-kubernetes-devops-engineer-winged-it-oarnjosx"
"Sky and Space Co";"Design";"Senior";"Wireframing|Visual Design|UX|UI|Team player|Communication skills|English";16000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-product-designer-sky-and-space-co-4qpydgdm"
"Ravenetics sp. z o.o.";"Backend";"Senior";"Scala|Communication skills|Leadership skills|linux|Team player";15000;18000;NA;NA;NA;NA;NA;NA;NA;NA;13000;16000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-software-developer-ravenetics-2ersfc4h"
"IT CONNECT";"Business Analyst";"Mid";"BPMN|System analysis|Polish|HR|RODO|Prawo Pracy";25200;31920;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25200;31920;NA;NA;24000;30400;NA;NA;"https://nofluffjobs.com/pl/job/analityk-it-hr-it-connect-remote-q2ddfzvc"
"Link Group";"Frontend";"Mid";"vue|JavaScript|CSS|HTML|Polish";13440;20160;NA;NA;NA;NA;NA;NA;12800;19200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/vue-developer-link-group-remote-kmvbjghk"
"dentsu Polska";"IT Administrator";"Mid";"Linux|AWS|Docker|CI/CD|MySQL|TCP/IP|HTTP|TLS|DNS|SMTP|Nginx|varnish|NFS|Apache2|Polish|English|Team player";7000;11000;NA;NA;NA;NA;NA;NA;NA;NA;7000;11000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/system-application-administrator-dentsu-polska-remote-otbyvcja"
"Ework Group";"Frontend";"Mid";"React|TypeScript|rxJS|English|node.js|React native";17600;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/react-developer-ework-group-remote-b2rjobck"
"Awareson";"Fullstack";"Mid";"Java|Angular|AngularJS|SQL|Spring";25200;28560;NA;NA;NA;NA;NA;NA;24000;27200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/fullstack-developer-java-angular-awareson-remote-trwkhqbl"
"FIS Techlology Services (Poland) Sp. z o.o.";"Business Analyst";"Junior";"BA degree in Science, Technology, Engineering or Math|Strong interpersonal skills|Proactivity|Team player|Ability to work well independently|Well organised|Multi-task|Interest in finance/payment industry and technology|Travel and work abroad on customer sites as required";NA;NA;5000;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-business-system-analyst-fis-fis-techlology-services-poland-warsaw-wiacwdhg"
"No Fluff Jobs";"HR";"Mid";"Recruitment experience|English B2/C1|Sourcing|ATS|Passion for HR|Candidate experience|Proactivity|Communication skills|Team player";NA;NA;5000;6300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/recruitment-specialist-no-fluff-jobs-gdynia-tcu4nkb4"
"RedCompass Labs";"Frontend";"Junior";"English|React|JavaScript|CSS|HTML|TypeScript";9600;12000;NA;NA;NA;NA;NA;NA;NA;NA;8000;10000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-frontend-software-engineer-redcompass-labs-warsaw-myg5yrcq"
"Softwarely";"Backend";"Junior";"Java|Spring|Hibernate|PostgreSQL|microservices|Spring Cloud|REST|Git";NA;NA;NA;NA;8400;11760;NA;NA;NA;NA;NA;NA;8000;11200;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-java-developer-junior-softwarely-remote-fp1nqdfo"
"Infor Polska";"Backend";"Trainee";".NET|SQL|English|Team player|Communication skills|Critical thinking|Problem solving";NA;NA;4000;5500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/internship-junior-software-engineer-infor-polska-wroclaw-vqnxn5qu"
"PhotoAiD";"Testing";"Trainee";"Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Digital Mindset|Sense of aesthetics";4000;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000;5000;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-tester-entry-level-photoaid-remote-mha2le52"
"Fresha";"Inne";"Mid";"Agile Manifesto - what's behind|Lean principles|SDLC - how is software created|Project management experience|Team-leading experience|Project management|Product management|Negotiation skills|Communication skills|Presentation skills|Attention to detail|Analytical skills|Goal-oriented";16000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/engineering-manager-fresha-warsaw-lwyc1ab0"
"Voucherify";"Fullstack";"Mid";"JavaScript|Node|Express.js|React|Git|HTML|CSS";NA;NA;16000;22000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-fullstack-javascript-developer-voucherify-uxqayj69"
"HTD Health 🏥";"Backend";"Mid";"Ruby|Ruby on Rails|RSpec|Git|Heroku|SQL|English|Polish|Communication skills|Problem solving";11000;18000;NA;NA;NA;NA;NA;NA;NA;NA;8800;14400;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-ruby-on-rails-developer-on-b2b-htd-health-uw3vtta1"
"Advisor Systems Sp. z o.o.";"Testing";"Junior";"C#|SQL|Polish|Team player|Communication skills|Selenium";7000;10000;NA;NA;NA;NA;NA;NA;NA;NA;6000;8000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-qa-engineer-advisor-systems-remote-znnb1wvu"
"SoftServe";"Big Data";"Trainee";"English|SQL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/trainee-technical-consultant-softserve-remote-rnz3phzr"
"Larago Sp. z o.o.";"Backend";"Junior";"PHP|Laravel|javascript|MySQL|English";7000;10000;NA;NA;NA;NA;NA;NA;NA;NA;5300;7500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-php-developer-larago-remote-c1pty8lu"
"Harvey Nash Technology";"Frontend";"Mid";"React|Angular|Angularjs|JavaScript|MongoDB|HTML|TypeScript|CSS|REST";19950;25200;NA;NA;NA;NA;NA;NA;NA;NA;15000;20000;NA;NA;NA;NA;19000;24000;NA;NA;"https://nofluffjobs.com/pl/job/frontend-developer-angular-react-harvey-nash-technology-remote-edshrskm"
"iPOS SA";"DevOps";"Mid";"Linux|Shell|Virtualization|tcp|java";7000;14000;NA;NA;NA;NA;NA;NA;NA;NA;7000;14000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-mid-devops-engineer-ipos-rimpsrr6"
"Avanade Poland";"Testing";"Mid";"Selenium|English";15120;25200;NA;NA;NA;NA;NA;NA;NA;NA;11000;19000;NA;NA;NA;NA;14400;24000;NA;NA;"https://nofluffjobs.com/pl/job/qa-test-automation-engineer-avanade-poland-remote-msti6mup"
"Iver Polska Sp. z o.o.";"Fullstack";"Mid";".NET|Angular|TypeScript|HTML5|CSS3";13000;21000;NA;NA;NA;NA;NA;NA;NA;NA;13000;16800;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-net-fullstack-developer-iver-polska-gdansk-05jpbugg"
"ORBA";"Backend";"Trainee";"PHP|Język angielski|Rozumienie zagadnienia programowania obiektowego";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/akademia-orba-platny-staz-php-magento-orba-remote-wn5njael"
"Avanade Poland";"DevOps";"Mid";"English|Powershell|Python|Terraform|Jenkins|Cloud|Azure";15120;25200;NA;NA;NA;NA;NA;NA;NA;NA;11000;20000;NA;NA;NA;NA;14400;24000;NA;NA;"https://nofluffjobs.com/pl/job/devops-engineer-avanade-poland-remote-knuersa5"
"RMEDISON SP Z O.O.";"Agile";"Mid";"Scrum|Agile|JIRA|Polish|Team player|Communication skills|Problem solving|Facilitation|Leadership skills|Proactivity";16800;25200;NA;NA;NA;NA;NA;NA;16000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/scrum-master-rmedison-remote-2fansbpn"
"Avenga";"Backend";"Mid";"Java|Spring|Hibernate|Oracle|PostgreSQL|MSSQL";20160;30240;NA;NA;NA;NA;NA;NA;19200;28800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/java-developer-avenga-remote-xx3zgvkr"
"Fresha";"IT Administrator";"Mid";"Windows|ChromeOS|MacOS|Linux|English|Team player|Communication skills|Problem solving|Proactivity|MDM|IT Management Solution|troublecshooting|mobile operating system";16000;18000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/it-operations-lead-engineer-fresha-warsaw-um45olw4"
"Fresha";"Backend";"Mid";"Problem solving|Critical thinking|Team player|ruby|ruby on rails|elixir|Communication skills|typescript|lutos|Spring";15000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/backend-engineer-fresha-remote-ou7aurip"
"Formeld Poland";"Backoffice";"Junior";"MS Excel|MS Windows|Goal-oriented|MS Office|English|Critical thinking";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-it-service-desk-specialist-with-german-formeld-poland-remote-b3lubwwz"
"OakFusion";"Embedded";"Mid";"Team player|Communication skills|C++|C|English|Problem solving|Embedded|git|IoT Devices";14000;20000;NA;NA;NA;NA;NA;NA;NA;NA;10000;15000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/embedded-c-c-software-developer-oakfusion-remote-jnp0lkna"
"OakFusion";"Fullstack";"Mid";"Java|Spring|Hibernate|REST|English|Team player|Communication skills|Proactivity|Problem solving";15000;25000;NA;NA;NA;NA;NA;NA;NA;NA;12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/full-stack-java-developer-oakfusion-remote-lckpm17u"
"OakFusion";"Frontend";"Mid";"React|REST|English|Team player|Communication skills";15000;25000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/frontend-developer-oakfusion-remote-avn7lm5p"
"Devire";"Backend";"Mid";"Java|Spring|Maven|Git|CI/CD|REST";21840;27720;NA;NA;NA;NA;NA;NA;20800;26400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/java-developer-branza-lotnicza-devire-remote-spa1oqms"
"Altimetrik Poland";"Backend";"Senior";"Java|Spring";23000;27000;NA;NA;NA;NA;NA;NA;NA;NA;18000;23000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-java-developer-altimetrik-poland-remote-oi8uzsov"
"People Trust Sp. z o.o.";"Inne";"Mid";"JIRA|JIRA Servicedesk|Confluence|English|Polish|min 3 lata doświadczenia w pracy administratora JIRA|Dobra znajomość rozszerzenia Insight|Atlassian";11000;15000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/atlassian-solution-engineer-people-trust-remote-6chbceuu"
"People Trust Sp. z o.o.";"Backend";"Mid";"Python|REST|Git|Polish";13000;21860;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-backend-developer-people-trust-3uosqpo7"
"EMPIK S. A.";"Backend";"Mid";"Java|Spring|Hibernate|Git|REST|JUnit|SQL|microservices";12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-java-developer-empik-tjwe56lg"
"Link Group";"Backend";"Senior";"Python|azure|sql|database";26000;31000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-python-developer-with-azure-link-group-remote-kxfhvl6u"
"No Fluff Jobs";"Business Intelligence";"Senior";"3+ lata doświadczenia w SQL|3+ lata doświadczenie w językach programowania stosowanych w analizie danych-Python czy R|2+ lata doświadczenia na stanowiskach związanych z danymi|2+ lata doświadczenia z magazynami danych (np. Redshift czy Snowflake)|Znajomość Google Analytics|Doświadczenie w obszarze Business Intelligence|Doskonałe umiejętności analityczne|Doświadczenie w zarządzaniu teamem|Nastawienie na proaktywność i poszukiwanie rozwiązań|Świetne umiejętności komunikacyjne|Znajomość języka angielskiego na poziomie min. B2";22000;26000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/data-engineer-and-team-lead-no-fluff-jobs-remote-tmmnehrp"
"WIX";"DevOps";"Mid";"Linux|Docker|Kubernetes|AWS";NA;NA;18000;28000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-engineer-wix-krakow-jcryho4x"
"AVENGA";"Security";"Mid";"Linux|Security|English";16800;21840;NA;NA;NA;NA;NA;NA;16000;20800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/security-specialist-red-team-avenga-warsaw-7plqpduu"
"Akamai";"Frontend";"Mid";"Angular|JavaScript|CSS|HTML|Git|English";NA;NA;9400;13400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/front-end-software-engineer-akamai-remote-zwa0dsqm"
"Siili Auto";"Embedded";"Mid";"C++|Qt|Qt Quick|QML|git|optimization for embedded devices";15120;21000;NA;NA;NA;NA;NA;NA;NA;NA;10000;18000;NA;NA;NA;NA;14400;20000;NA;NA;"https://nofluffjobs.com/pl/job/c-qt-developer-siili-auto-remote-ybbsilwh"
"Link Group";"Frontend";"Senior";"Angular|JavaScript|es6|HTML|CSS|English|Git";22680;26880;NA;NA;NA;NA;NA;NA;21600;25600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-angular-developer-link-group-fsfvaqve"
"FRISTA";"IT Administrator";"Junior";"java|Communication skills|Problem solving|Cisco ACI|Networking|Routing|Switching";8000;10000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-network-engineer-with-german-frista-remote-ovlgh8fg"
"ista Shared Sevices Polska";"IT Administrator";"Mid";"LAN|WAN|CCNA|Cisco|Fortinet|Firewall";11000;14000;NA;NA;NA;NA;NA;NA;NA;NA;10000;13000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/network-administrator-ista-shared-sevices-polska-gliwice-qemqfivv"
"ista Shared Sevices Polska";"DevOps";"Mid";"Linux|English|Docker|Kubernetes|Gitlab|Gitlab CI|Azure|Docker Swarm|Ansible";18000;21000;NA;NA;NA;NA;NA;NA;NA;NA;17000;19000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-ci-cd-engineer-ista-shared-sevices-polska-remote-duqv9kco"
"ista Shared Sevices Polska";"Backend";"Mid";".NET|.NET Core|Entity Framework|C#|WebApi|SQL Server|GIT|jquery|javascript|html|css|jira|Problem solving|Team player|English";13000;18000;NA;NA;NA;NA;NA;NA;NA;NA;11000;15000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/net-developer-ista-shared-sevices-polska-remote-ayiuw0hm"
"Searchspring";"Backend";"Mid";"PHP|Git|English";17000;25000;NA;NA;NA;NA;NA;NA;NA;NA;14100;20700;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/php-developer-searchspring-remote-vmjp74k5"
"Acaisoft Poland sp. z o.o";"Backend";"Senior";"At least 4 years of exp. working in a similar position|Ruby|Ruby on Rails|AWS|RESTful API|English min.B2";24000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-ruby-developer-acaisoft-poland-do7pewgc"
"Itransition";"Backend";"Mid";"English|.NET|ASP.NET|API|SQL";NA;NA;10000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/net-developer-itransition-remote-rcr5uhja"
"ICU Medical";"Embedded";"Mid";"C++|jira|RTOS|Leadership skills";NA;NA;18000;22000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/embedded-leader-icu-medical-warszawa-monov9g1"
"Link Group";"Backend";"Senior";"Express.js|English|Sequelize|RESTful API|NoSQL|JavaScript|nodejs|Node";30240;36960;NA;NA;NA;NA;NA;NA;28800;35200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-expert-backend-developer-link-group-remote-rhig1dpj"
"Link Group";"Mobile";"Mid";"Flutter|Dart|Git|REST|API";24000;27000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-flutter-developer-link-group-dihjcpmo"
"Link Group";"Product Management";"Mid";"Cooperation with stakeholders|Business Analysis|Feedback and data analytics";16800;25200;NA;NA;NA;NA;NA;NA;16000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/technical-consultant-link-group-remote-sdjddsbu"
"Euvic";"Backend";"Mid";"Python|Django|PostgreSQL|Gitlab";11760;18480;NA;NA;NA;NA;NA;NA;NA;NA;8800;13800;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/python-developer-euvic-remote-z2ca2fds"
"Link Group";"Design";"Mid";"UX|Figma|Photoshop|Axure|English|Communication skills";6000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/ux-designer-link-group-remote-lr11wg1p"
"STS S. A.";"Agile";"Mid";"Scrum|Agile|JIRA|Problem solving|Team player|English|Polish|Proactivity|Experience in remote work|Can-do attitude|Facilitation techniques|High communication skills|Communication skills|Facilitation";9000;14000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/scrum-master-sts-katowice-miobjxcf"
"apreel Sp. z o.o.";"Testing";"Mid";"Java|C#|Selenium|Appium|Visual Studio|SOAP|REST|SoapUI|Postman|Protractor|JIRA|test automation|GIT|xUnit";21000;23520;NA;NA;NA;NA;NA;NA;20000;22400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/test-automation-engineer-apreel-warszawa-qcwm7zkv"
"Unity Group";"Testing";"Mid";"Selenium|Python|English|Polish|git|SoapUI|SQL";9350;12700;NA;NA;NA;NA;NA;NA;NA;NA;7370;9200;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-engineer-unity-group-remote-izdduxw2"
"Clurgo Sp. z o.o.";"Frontend";"Mid";"JavaScript|TypeScript|React|Angular|REST|SQL|GrapQL|Azure|Polish|English";18480;25200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-frontend-react-angular-developer-clurgo-0hqnupoi"
"ARRIS AGENCY";"Backend";"Junior";"PHP|MySQL|Git|English|Polish|Problem solving|Proactivity|clean code";NA;NA;4000;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-php-developer-arris-agency-chorzow-giqzcvqt"
"MEDIAPLUS (Program Kariera)";"Inne";"Trainee";"MS Office|Communication skills|English";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/staz-w-dziale-client-service-mediaplus-program-kariera-warszawa-jeal6kin"
"ERGO HESTIA (Program Kariera)";"Inne";"Trainee";"Organizational skills|python|MS Office|Attention to detail|Analytical skills";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/staz-w-dziale-analitycznym-ergo-hestia-program-kariera-sopot-wcgsywuk"
"VALUE MEDIA (Program Kariera)";"Inne";"Trainee";"MS Office|Organizational skills|Communication skills|Proactivity";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/staz-w-dziale-client-service-value-media-program-kariera-warszawa-0c3ac9ah"
"FREUNDSCHAFT (Program Kariera)";"Marketing";"Trainee";"Communication skills|English";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/staz-w-dziale-komunikacji-freundschaft-program-kariera-warszawa-fmvz5alj"
"TAR HEEL CAPITAL (Program Kariera)";"Inne";"Trainee";"English|Analytical skills|Goal-oriented";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/staz-w-zespole-inwestycyjnym-tar-heel-capital-program-kariera-warszawa-9mssskqf"
"ROTHSCHILD & CO (Program Kariera)";"Inne";"Trainee";"English|Polish|MS Office";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/staz-w-dziale-global-advisory-rothschild-co-program-kariera-warszawa-gzjvvull"
"RESPECT ENERGY (Program Kariera)";"Inne";"Trainee";"python|English";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/staz-w-dziale-trading-analysis-respect-energy-program-kariera-warszawa-ysoy9mgu"
"e-Xim IT S.A.";"Inne";"Junior";"Polish|English|Proactivity|sql|html / css|ssl|TCP/IP|teamwork";4000;7000;NA;NA;NA;NA;NA;NA;NA;NA;4000;7000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/servicenow-junior-technical-consultant-e-xim-it-warszawa-9hnrpgcy"
